id,"nama_dosen",jabatanfungsional_id,"url",programstudi_id,perguruantinggi_id
130,"Afiahayati",2,"https://forlap.ristekdikti.go.id/dosen/detail/N0E2QUQyN0YtMUFGNi00RUY2LTgxMDYtRTU2NTNGODNBMDE2",10,73
131,"Agfianto Eko Putra",2,"https://forlap.ristekdikti.go.id/dosen/detail/QUU4NjlBOTUtQTUyNi00Qjg5LUExQTMtMjhEODVEMTc3MzdE",11,73
132,"Agus Harjoko",1,"https://forlap.ristekdikti.go.id/dosen/detail/NjI1MTkwNzYtODc0OS00N0M3LUFBRTMtMUY4ODA1NjQ3MDc4",11,73
133,"Agus Sihabuddin",4,"https://forlap.ristekdikti.go.id/dosen/detail/NjA4NDI2QzgtNkYwOC00OUVFLTg4QTUtNUUwQTJGODJFODEy",7,73
134,"Aina Musdholifah",2,"https://forlap.ristekdikti.go.id/dosen/detail/OTIxODhBMzUtMEEzQy00OTVELUIzMjEtN0U4OUQyRjY4MTJD",10,73
135,"Anifuddin Azis",2,"https://forlap.ristekdikti.go.id/dosen/detail/RURFM0EwMkMtQTgzRC00QjIzLUE0NUQtMjZDMkIxN0RCNTM4",7,73
136,"Anindita Suryarasmi",4,"https://forlap.ristekdikti.go.id/dosen/detail/NzREMjAxRkMtRDA1Mi00QjE5LUI2NTktN0RFMzhBMUI0MzBC",12,73
137,"Anny Kartika Sari",4,"https://forlap.ristekdikti.go.id/dosen/detail/Mjg4NzMxNkMtQjA1MS00MjA3LUFGMUItMkM4RjM5QTI5NkE1",7,73
138,"Ariesta Martiningtyas Handayani",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/MUJGRjE1MUUtMzEwMy00RERDLUJDNzgtQ0JCODRCNDVBQUIx",12,73
139,"Arif Nurwidyantoro",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/QkY2RjI5ODYtMjRBNC00RTY1LTg4OTMtMkZDRkQzM0Q5MDFF",7,73
140,"Azhari",1,"https://forlap.ristekdikti.go.id/dosen/detail/MTdBNDUyRjQtMzY3QS00NjVBLUJEOTktRDFBRENEOUIyMEY0",10,73
141,"Bimo Sunarfri Hantono",2,"https://forlap.ristekdikti.go.id/dosen/detail/MzMyMjQzODQtRUUwQi00RUY1LUI1NjctQTY4RUMyQkU4MjlC",9,73
142,"Danang Lelono",2,"https://forlap.ristekdikti.go.id/dosen/detail/NDEwNjEyMTAtMTBDNC00RkZGLTgyMEUtQzYwOTQ3NzIzMjQ5",10,73
143,"Dani Adhipta",4,"https://forlap.ristekdikti.go.id/dosen/detail/NzY5ODVGOUItQTg0MS00QkM3LTk3M0QtMzg0MzE3Q0REMjM2",9,73
144,"Divi Galih Prasetyo Putri",4,"https://forlap.ristekdikti.go.id/dosen/detail/RjA4N0NGN0MtNEJBMi00NEUyLTk2MDMtMzlGNzZBMTMyMjJG",12,73
145,"Edi Winarko",1,"https://forlap.ristekdikti.go.id/dosen/detail/Qzk5ODg1NEYtNTU3Qi00MTZCLTlDOEItNzYxNkMyNzFFQTVF",11,73
146,"Enas Dhuhri Kusuma",5,"https://forlap.ristekdikti.go.id/dosen/detail/N0RCMTVFQzItQTE2Qy00NzIxLUFCMTktMDQxNUIyQzcxMUYy",9,73
147,"Endro Purnomo",5,"https://forlap.ristekdikti.go.id/dosen/detail/QjI1NUQ1MTMtQzhCQy00REQ0LTlBQzYtNjJGOEUxQkNBNTBD",12,73
